"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL190099";"";"None";"319.32";"0";"3.05";"Table S2, R70C1";"COc1ccc2c(=O)c(-c3ccccc3)c(-n3cncn3)oc2c1";"IC50";"'='";"18000.0";"nM";"4.75";"";"";"UO_0000065";"14.86";"0.27";"1.69";"6.76";"0";"CHEMBL1011777";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";""
"CHEMBL207751";"";"None";"226.28";"0";"2.84";"14";"COc1ccc2c(c1)CCC(n1ccnc1)=C2";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL860942";"Inhibition of human placental CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146077";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL202231";"";"None";"336.31";"0";"3.28";"11e";"O=[N+]([O-])c1ccc(C(c2cc3ccc(O)cc3o2)n2cncn2)cc1";"IC50";"'='";"60.0";"nM";"7.22";"";"";"UO_0000065";"21.47";"0.39";"3.94";"6.74";"0";"CHEMBL865872";"Displacement of [1,2,6,7-3H]-androstenedione from human placental CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149390";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL202612";"";"None";"365.82";"0";"4.77";"4b";"COc1ccc2cc(C(O)(c3ccc(Cl)cc3)c3cccnc3)oc2c1";"IC50";"'='";"49.0";"nM";"7.31";"";"";"UO_0000065";"19.98";"0.38";"2.54";"13.17";"0";"CHEMBL865872";"Displacement of [1,2,6,7-3H]-androstenedione from human placental CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149390";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL522733";"";"None";"324.34";"0";"2.96";"4, NSC-369087";"COc1ccc(C(c2cc3c(cc2O)OCO3)n2ccnc2)cc1";"IC50";"'='";"55.0";"nM";"7.26";"";"";"UO_0000065";"22.38";"0.41";"4.30";"11.04";"0";"CHEMBL1011777";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";""
"CHEMBL185819";"";"None";"375.45";"1";"5.16";"Table S2, R68C1";"COc1ccc2c(=O)c(-c3ccccc3)c(SCc3cccnc3)oc2c1";"IC50";"'='";"9200.0";"nM";"5.04";"";"";"UO_0000065";"13.41";"0.25";"-0.12";"9.62";"0";"CHEMBL1011777";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";""
"CHEMBL151691";"";"None";"218.26";"0";"0.92";"6";"CN1C(=O)CC(C)(c2ccc(N)cc2)C1=O";"IC50";"'='";"10040.0";"nM";"5.00";"";"";"UO_0000065";"22.90";"0.43";"4.08";"7.88";"0";"CHEMBL663077";"Inhibition of Cytochrome P450 19A1 against Androstenedione at 0.25 uM (Km=55 nM)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123156";"1";"Scientific Literature";"J Med Chem";"1986";"None";""
"CHEMBL71152";"";"None";"270.42";"0";"4.68";"27";"CC12CCC3C(CC=C4C=CCCC43C)C1CCC2=O";"IC50";"'='";"340.0";"nM";"6.47";"";"";"UO_0000065";"23.92";"0.44";"1.79";"37.89";"0";"CHEMBL663241";"In vitro competitive inhibitory activity was measured on Cytochrome P450 19A1 of human placental microsomes";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127575";"1";"Scientific Literature";"J Med Chem";"1994";"None";""
"CHEMBL175799";"";"None";"241.72";"0";"4.22";"8b";"Clc1ccc2c(c1)CC/C2=C/c1ccncc1";"IC50";"'='";"1990.0";"nM";"5.70";"";"";"UO_0000065";"23.59";"0.46";"1.48";"44.23";"1";"CHEMBL830012";"In vitro inhibitory concentration against human placental CYP19 incubated with 500 nM of substrate androstenedione in presence of the compound";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142706";"1";"Scientific Literature";"J Med Chem";"2005";"None";""
"CHEMBL189170";"";"None";"374.46";"1";"5.76";"3d";"COc1ccc2c(=O)c(-c3ccccc3)c(SCc3ccccc3)oc2c1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL877007";"Inhibitory concentration against human placental aromatase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138663";"1";"Scientific Literature";"J Med Chem";"2004";"None";""
"CHEMBL4224728";"";"None";"269.33";"0";"3.28";"7";"COc1ccccc1-c1csc(-c2ncccn2)n1";"IC50";"'='";"1181.36";"nM";"5.93";"";"";"UO_0000065";"22.01";"0.43";"2.65";"12.37";"0";"CHEMBL4222102";"Inhibition of aromatase in supersomes (unknown origin) using 7-methoxy-4-trifloromethyl coumarone as substrate after 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4219133";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"None";""
"CHEMBL1630273";"";"None";"304.43";"0";"2.85";"24";"C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O";"IC50";"'='";"6800.0";"nM";"5.17";"";"";"UO_0000065";"16.97";"0.32";"2.32";"8.98";"0";"CHEMBL1639399";"Inhibition of human placental aromatase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1629480";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";""
"CHEMBL4228753";"";"None";"269.33";"0";"3.28";"8";"COc1cccc(-c2csc(-c3ncccn3)n2)c1";"IC50";"'='";"176.82";"nM";"6.75";"";"";"UO_0000065";"25.07";"0.49";"3.47";"14.10";"0";"CHEMBL4222102";"Inhibition of aromatase in supersomes (unknown origin) using 7-methoxy-4-trifloromethyl coumarone as substrate after 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4219133";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"None";""
"CHEMBL1629806";"";"None";"288.43";"0";"3.88";"8";"C[C@]12CCCC=C1[C@@H](O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12";"IC50";"'='";"190.0";"nM";"6.72";"";"";"UO_0000065";"23.30";"0.44";"2.84";"18.02";"0";"CHEMBL1639399";"Inhibition of human placental aromatase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1629480";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";""
"CHEMBL4575994";"";"None";"324.46";"0";"4.67";"13";"C=CC[C@H]1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12";"IC50";"'='";"55.0";"nM";"7.26";"";"";"UO_0000065";"22.37";"0.41";"2.59";"21.26";"0";"CHEMBL4392015";"Inhibition of human placental microsome aromatase using [1beta3H]-androstenedione as substrate measured after 15 mins in presence of NADPH by liquid scintillation counting method";"B";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsome";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390669";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL493182";"";"None";"279.29";"0";"1.87";"1q";"COc1c(OC)c(OC)c2c(C)cc(=O)[nH]c2c1OC";"IC50";"'='";"5680.0";"nM";"5.25";"";"";"UO_0000065";"18.78";"0.36";"3.38";"7.52";"0";"CHEMBL960910";"Inhibition of aromatase after 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153344";"1";"Scientific Literature";"J Med Chem";"2009";"None";""
"CHEMBL1630276";"";"None";"286.46";"1";"5.15";"27";"C[C@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12";"IC50";"'='";"1800.0";"nM";"5.75";"";"";"UO_0000065";"20.05";"0.37";"0.59";"33.65";"0";"CHEMBL1639399";"Inhibition of human placental aromatase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1629480";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";""
"CHEMBL437731";"";"None";"318.33";"0";"3.83";"14";"O=c1cc(Cn2ccnc2)c2ccc(Oc3ccccc3)cc2o1";"IC50";"'='";"51.0";"nM";"7.29";"";"";"UO_0000065";"22.91";"0.41";"3.46";"12.74";"1";"CHEMBL1694074";"Inhibition of human placental microsome CYP19 using [1beta-3H] androstenedione as a substrate";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687929";"1";"Scientific Literature";"J Med Chem";"2011";"None";""
"CHEMBL1688894";"";"None";"416.36";"0";"4.52";"6";"O=c1cc(Cn2ccnc2)c2ccc(OCc3cccc(OC(F)(F)F)c3)cc2o1";"IC50";"'='";"207.0";"nM";"6.68";"";"";"UO_0000065";"16.05";"0.30";"2.16";"10.05";"1";"CHEMBL1694074";"Inhibition of human placental microsome CYP19 using [1beta-3H] androstenedione as a substrate";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687929";"1";"Scientific Literature";"J Med Chem";"2011";"None";""
"CHEMBL1630260";"";"None";"358.52";"1";"5.58";"10";"CCCC(=O)OC1=C2CC[C@@H]3[C@H](CC[C@]4(C)C(=O)CC[C@@H]34)[C@@]2(C)CCC1";"IC50";"'='";"1500.0";"nM";"5.82";"";"";"UO_0000065";"16.24";"0.31";"0.24";"13.43";"0";"CHEMBL1639399";"Inhibition of human placental aromatase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1629480";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";""
"CHEMBL1688900";"";"None";"368.34";"0";"3.90";"12";"O=c1cc(Cn2ccnc2)c2ccc(OCc3cc(F)cc(F)c3)cc2o1";"IC50";"'='";"169.0";"nM";"6.77";"";"";"UO_0000065";"18.39";"0.34";"2.87";"11.83";"1";"CHEMBL1694074";"Inhibition of human placental microsome CYP19 using [1beta-3H] androstenedione as a substrate";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687929";"1";"Scientific Literature";"J Med Chem";"2011";"None";""
"CHEMBL1688904";"";"None";"348.36";"0";"3.84";"17";"COc1cccc(Oc2ccc3c(Cn4ccnc4)cc(=O)oc3c2)c1";"IC50";"'='";"292.0";"nM";"6.54";"";"";"UO_0000065";"18.76";"0.34";"2.69";"9.83";"0";"CHEMBL1694074";"Inhibition of human placental microsome CYP19 using [1beta-3H] androstenedione as a substrate";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687929";"1";"Scientific Literature";"J Med Chem";"2011";"None";""
"CHEMBL455593";"";"None";"293.32";"0";"1.88";"1r";"COc1c(OC)c(OC)c2c(c(C)cc(=O)n2C)c1OC";"IC50";"'='";"760.0";"nM";"6.12";"";"";"UO_0000065";"20.86";"0.40";"4.24";"10.39";"0";"CHEMBL960910";"Inhibition of aromatase after 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153344";"1";"Scientific Literature";"J Med Chem";"2009";"None";""
"CHEMBL449065";"";"None";"263.29";"0";"1.87";"1p";"COc1cc(OC)c2c(c(C)cc(=O)n2C)c1OC";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"26.59";"0.50";"5.13";"14.09";"0";"CHEMBL960910";"Inhibition of aromatase after 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153344";"1";"Scientific Literature";"J Med Chem";"2009";"None";""
"CHEMBL67842";"";"None";"251.33";"0";"3.53";"3";"COc1ccc2c(c1)CCC1C(c3ccncc3)C21";"IC50";"'='";"69.0";"nM";"7.16";"";"";"UO_0000065";"28.49";"0.51";"3.63";"32.37";"1";"CHEMBL662434";"Inhibition of Human placental Cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128393";"1";"Scientific Literature";"J Med Chem";"1995";"None";""
"CHEMBL419619";"";"None";"330.23";"0";"4.30";"7";"COc1cc2c(cc1Br)CCC1C(c3ccncc3)C21";"IC50";"'='";"1400.0";"nM";"5.85";"";"";"UO_0000065";"17.73";"0.40";"1.55";"26.46";"0";"CHEMBL662434";"Inhibition of Human placental Cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128393";"1";"Scientific Literature";"J Med Chem";"1995";"None";""
"CHEMBL228985";"";"None";"338.40";"0";"4.75";"8k";"COc1ccc2c(c1)OC(c1ccc(OCC=C(C)C)cc1)CC2=O";"IC50";"'='";"28650.0";"nM";"4.54";"";"";"UO_0000065";"13.42";"0.25";"-0.21";"10.15";"0";"CHEMBL905158";"Inhibition of human aromatase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143702";"1";"Scientific Literature";"J Med Chem";"2007";"None";""
"CHEMBL225128";"";"None";"211.27";"0";"2.54";"T37";"CC(C)(c1ccc(C#N)cc1)n1ccnc1";"IC50";"'='";"95.5";"nM";"7.02";"";"";"UO_0000065";"33.23";"0.60";"4.48";"16.87";"0";"CHEMBL915480";"Inhibition of human placental microsome CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139479";"1";"Scientific Literature";"J Med Chem";"2005";"None";""
"CHEMBL269877";"";"None";"398.42";"1";"5.58";"69";"O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)c1ccc2ccccc2c1";"IC50";"'>'";"25000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL952107";"Inhibition of aromatase in human SKBR3 cells by tritiated water release assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143195";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308062";""
"CHEMBL407092";"";"None";"373.37";"0";"4.30";"68";"N#Cc1ccc(C(=O)Nc2ccc([N+](=O)[O-])cc2OCc2ccccc2)cc1";"IC50";"'>'";"25000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL952107";"Inhibition of aromatase in human SKBR3 cells by tritiated water release assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143195";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308062";""
"CHEMBL176452";"";"None";"242.28";"0";"1.08";"9l";"C=CCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"24.76";"0.46";"4.92";"9.46";"0";"CHEMBL660324";"Inhibition of human placental cytochrome P450 19A1 with testosterone";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124116";"1";"Scientific Literature";"J Med Chem";"1988";"None";""
"CHEMBL225178";"";"None";"256.26";"0";"2.07";"22";"O=c1cc(OCCn2ccnc2)c2ccccc2o1";"IC50";"'='";"758.58";"nM";"6.12";"";"";"UO_0000065";"23.88";"0.44";"4.05";"10.69";"0";"CHEMBL916314";"Inhibition of human placental microsome CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149306";"1";"Scientific Literature";"J Med Chem";"2004";"None";""
