PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
8,144203565,3080,C(C(CS)S)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
9,144203566,7048801,[C@@H]([C@H](C(=O)O)S)(C(=O)O)S,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
10,144203567,51,C(CC(=O)O)C(=O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
11,144203569,66435,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OP(=O)(O)O)CCC4=C3C=CC(=C4)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
12,144203570,8969,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
13,144203571,10664,CC1=NC=C(C(=C1O)CN)CO.Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
14,144203572,8739,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Chembridge
15,144203573,4904,C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
16,144203576,65708,C1=CC=C2C(=C1)NC(=N2)CCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Chemical Block
17,144203577,60196259,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.C1CNCCN1,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
18,144203578,5338,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
19,144203579,3246155,CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,active antagonist,29.8493,-50.8733,NCI
20,144203580,5920,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
21,144203581,54724367,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
22,144203584,24403,[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
23,144203585,6419941,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O.Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
24,144203586,6603108,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4.Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
25,144203587,6419978,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)[O-].Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
26,144203588,5459110,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-],Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
27,144203589,656597,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-],Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
28,144203590,3000668,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
29,144203591,22576,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
30,144203592,2333,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
31,144203593,614,C1CC(NC1)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
32,144203594,94280,CC1(C2=CC=CC=C2N(C3=CC=CC=C31)CCCN(C)C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
33,144203595,23664709,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[K+],Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
34,144203596,546,C(C(=O)O)P(=O)(O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
35,144203597,16678045,CC1=CC(=C(N1C2=CC=CC(=C2)C(=O)O)C)C(=O)O.C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,,,NCI
36,144203598,14676,CN1CCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
37,144203601,443939,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
38,144203602,298391,CC1=CC=C(C=C1)S(=O)(=O)O.C1CCC2=C(C1)C=CC=C2NC3=NCCN3,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
39,144203603,4078,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
40,144203604,2348,C1=CC=C(C=C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
41,144203605,23667629,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
42,144203607,3151,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,,,NCI
43,144203609,5694,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
44,144203610,4614,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
45,144203612,3061720,CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
46,144203613,35370,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
47,144203614,2266,C(CCCC(=O)O)CCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
48,144203615,2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
49,144203616,1727,C1=CN=CC=C1N,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
50,144203617,2081,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
51,144203618,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
52,144203619,2130,C1C2CC3CC1CC(C2)(C3)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
53,144203620,169371,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
54,144203621,5283389,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
55,144203622,119,C(CC(=O)O)CN,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
56,144203624,1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
57,144203626,135398513,C1=NC2=C(N1COCCO)N=C(NC2=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
58,144203627,2244,CC(=O)OC1=CC=CC=C1C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
59,144203628,2141,C(CN)CNCCSP(=O)(O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
60,144203629,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
61,144203630,2230,CN1CCC=C(C1)C(=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
62,144203631,16231,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
63,144203632,564,C(CCC(=O)O)CCN,Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
64,144203633,135401907,C1=NNC2=C1C(=O)NC=N2,Inactive,0,,,inactive,inactive,,0,inactive,,0,NIEHS
65,144203634,2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,0.421632,-22.7356,BIOMOL
66,144203635,2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
67,144203636,2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
68,144203637,2196,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
69,144203638,4768,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
70,144203639,2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
71,144203641,2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
72,144203642,2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
73,144203643,2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
74,144203644,2717,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
75,144203646,2765,C1CC1C2=CC=CC=C2OCC3=NCCN3,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
76,144203647,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
77,144203648,2578,C(CCl)NC(=O)N(CCCl)N=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
78,144203649,2754,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
79,144203650,6241,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
80,144203651,22420,C1CNP(=O)(OC1)N(CCCl)CCCl.O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
81,144203652,72276,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
82,144203653,2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
83,144203654,4211,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
84,144203656,2733,C1=CC2=C(C=C1Cl)NC(=O)O2,Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
85,144203657,2756,CC1=C(N=CN1)CSCCNC(=NC)NC#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
86,144203658,2720,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,Inactive,0,,,inactive,inactive,,0,inactive,,0,NIEHS
87,144203659,5309446,C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
88,144203660,1547484,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
89,144203661,1355,C1CN(CCN1)C2=CC(=CC=C2)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
90,144203663,2913,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,29.8493,-127.594,BIOMOL
91,144203664,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,29.8493,-28.7575,BIOMOL
92,144203665,4652,C1=CC(=CC=C1CC(C(=O)O)N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
93,144203666,64927,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
94,144203667,2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
95,144203669,2803,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
96,144203670,2753,CN(C1CCCCC1)C(=O)CCCOC2=CC3=C(C=C2)NC(=O)C=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
97,144203671,2726,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Inactive,0,,,inactive,inactive,,0,active antagonist,29.8493,-59.1765,BIOMOL
98,144203672,2762,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
99,144203673,2576,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
100,144203674,19379,CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
101,144203675,2910,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
102,144203678,3100,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
103,144203680,65327,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
104,144203681,6419921,CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
105,144203682,3053,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Labotest
106,144203683,3019,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
107,144203685,4943,CC(C)C1=C(C(=CC=C1)C(C)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
108,144203686,9363,CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
109,144203687,9363,CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
110,144203688,53708,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
111,144203689,8307,CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
112,144203690,72016,CCC1(CC2=CC=CC=C2O1)C3=NCCN3,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
113,144203692,6207,C(COCCOCCN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
114,144203693,3396,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
115,144203696,3331,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
116,144203698,3339,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
117,144203699,3373,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
118,144203700,3442,CCCCC1=CN=C(C=C1)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
119,144203702,3356,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
120,144203703,3341,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
121,144203704,5702160,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
122,144203705,3397,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
123,144203707,3478,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
124,144203708,3446,C1CCC(CC1)(CC(=O)O)CN,Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
125,144203709,3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
126,144203710,71401,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl.Cl,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,22.3838,-40.002,BIOMOL
127,144203711,135398740,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
128,144203713,3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
129,144203715,5702293,C1CC(C2=C(C3=CC=CC=C3N=C2C1)N)O.C(=C\C(=O)O)\C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
130,144203716,3639,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
131,144203717,774,C1=C(NC=N1)CCN,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
132,144203718,681,C1=CC(=C(C=C1CCN)O)O,Inactive,0,,,inactive,inactive,,0,active antagonist,32.2305,-34.2156,BIOMOL
133,144203719,3657,C(=O)(N)NO,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
134,144203720,785,C1=CC(=CC=C1O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,NIEHS
135,144203721,3672,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
136,144203723,3779,CC(C)NCC(C1=CC(=C(C=C1)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
137,144203725,3696,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
138,144203726,133621,CCN1C=CN=C1CC2COC3=CC=CC=C3O2,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
139,144203727,3827,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
140,144203728,3932,C1=CC=C(C=C1)N2C3=CC=CC=C3C(C2=O)(CC4=CC=NC=C4)CC5=CC=NC=C5,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
141,144203729,3965,CC(C1=CC=C(C=C1)CC2CCCC2=O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
142,144203730,3878,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
143,144203732,39562,C1=CC=C2C(=C1)C(=NN2CC3=C(C=C(C=C3)Cl)Cl)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
144,144203734,3676,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
145,144203736,3957,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
146,144203737,4170,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
147,144203739,4168,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
148,144203742,4184,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
149,144203743,5353788,CCO/C(=N/C1=C[N+](=NO1)N2CCOCC2)/[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
150,144203744,4201,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
151,144203745,13758,CC1=CC(=C(C=C1OC(=O)C)C(C)C)OCC[NH+](C)C.[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
152,144203746,896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,BIOMOL
153,144203747,119442,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC.Cl,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,25.1151,-32.9096,BIOMOL
