preprocessedSmiles,PUBCHEM_SID,PUBCHEM_ACTIVITY_OUTCOME
C[N+]1(C)[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,144203589.0,Inactive
C[N+]1([O-])[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,144203590.0,Inactive
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,144203591.0,Inactive
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,144203592.0,Inactive
CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21,144203594.0,Inactive
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,144203595.0,Inactive
Cc1cc(C(=O)O)c(C)n1-c1cccc(C(=O)O)c1.O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,144203597.0,Inactive
CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,144203598.0,Inactive
CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,144203603.0,Inactive
NS(=O)(=O)c1cc2c(cc1Cl)NC(Cc1ccccc1)NS2(=O)=O,144203604.0,Inactive
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,144203605.0,Inactive
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,144203607.0,Inactive
Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,144203609.0,Inactive
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,144203610.0,Inactive
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,144203613.0,Inactive
CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,144203617.0,Inactive
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,144203618.0,Inactive
Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,144203620.0,Inactive
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,144203621.0,Inactive
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,144203634.0,Inactive
CC(COc1ccccc1)N(CCCl)Cc1ccccc1,144203638.0,Inactive
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,144203639.0,Inactive
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,144203642.0,Inactive
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,144203643.0,Inactive
CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,144203644.0,Inactive
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,144203647.0,Inactive
O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,144203649.0,Inactive
O=P1(N(CCCl)CCCl)NCCCO1,144203651.0,Inactive
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,144203652.0,Inactive
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,144203653.0,Inactive
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,144203654.0,Inactive
CN=C(NC#N)NCCSCc1[nH]cnc1C,144203657.0,Inactive
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,144203658.0,Inactive
Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,144203659.0,Inactive
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,144203660.0,Inactive
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,144203663.0,Inactive
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,144203664.0,Inactive
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,144203666.0,Inactive
CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1,144203670.0,Inactive
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,144203671.0,Inactive
CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,144203672.0,Inactive
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,144203673.0,Inactive
CN(C)CCOC(=O)COc1ccc(Cl)cc1,144203674.0,Inactive
NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,144203675.0,Inactive
CN(C)CCOC(c1ccccc1)c1ccccc1,144203678.0,Inactive
CNCCCN1c2ccccc2CCc2ccccc21,144203680.0,Inactive
CN(C)CC/C=C1\c2ccccc2COc2ccccc21,144203681.0,Inactive
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,144203682.0,Inactive
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,144203692.0,Inactive
O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,144203693.0,Inactive
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,144203698.0,Inactive
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,144203699.0,Inactive
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,144203702.0,Inactive
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,144203703.0,Inactive
N=C(CCSCc1csc(N=C(N)N)n1)NS(N)(=O)=O,144203704.0,Inactive
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,144203707.0,Inactive
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,144203709.0,Inactive
Nc1nc(=O)c2ncn(COC(CO)CO)c2[nH]1,144203711.0,Inactive
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,144203713.0,Inactive
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,144203716.0,Inactive
CN(C)CCCN1c2ccccc2CCc2ccccc21,144203725.0,Inactive
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,144203727.0,Inactive
O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1,144203728.0,Inactive
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,144203730.0,Inactive
O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,144203732.0,Inactive
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,144203736.0,Inactive
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,144203737.0,Inactive
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,144203739.0,Inactive
CN1CCN2c3ccccc3Cc3ccccc3C2C1,144203742.0,Inactive
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,144203745.0,Inactive
COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC,144203747.0,Inactive
CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,144203752.0,Inactive
COCCOC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,144203753.0,Inactive
CNCCC(Oc1ccccc1OC)c1ccccc1,144203754.0,Inactive
CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,144203755.0,Inactive
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,144203756.0,Inactive
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,144203758.0,Inactive
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,144203759.0,Inactive
CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,144203764.0,Inactive
Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,144203765.0,Inactive
CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,144203767.0,Inactive
Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,144203768.0,Inactive
Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,144203771.0,Inactive
CCCCCCCCCCCCCCCC(=O)NCCO,144203773.0,Inactive
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,144203774.0,Inactive
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,144203775.0,Inactive
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,144203777.0,Inactive
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,144203778.0,Inactive
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,144203779.0,Inactive
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,144203781.0,Inactive
CN1C(C(=O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O,144203782.0,Inactive
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,144203790.0,Inactive
CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,144203793.0,Inactive
CNCCCC1c2ccccc2C=Cc2ccccc21,144203795.0,Inactive
c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,144203796.0,Inactive
CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,144203798.0,Inactive
CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,144203801.0,Inactive
Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,144203802.0,Inactive
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,144203804.0,Inactive
CCCN(CCC)CCc1cccc2[nH]c(O)cc12,144203807.0,Inactive
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,144203809.0,Inactive
O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2,144203811.0,Inactive
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,144203812.0,Inactive
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,144203813.0,Inactive
CN=C(NC#N)Nc1ccc(C2=NNC(=O)CC2C)cc1,144203815.0,Inactive
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc([S+](C)[O-])cc1,144203821.0,Inactive
CN1[C@H]2CC[C@@H]1CC(OC(=O)c1c[nH]c3ccccc13)C2,144203823.0,Inactive
Cc1scc2c1N(C(=O)CN1CCN(C)CC1)c1ccccc1NC2=O,144203825.0,Inactive
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,144203826.0,Inactive
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,144203827.0,Inactive
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,144203830.0,Inactive
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,144203832.0,Inactive
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,144203837.0,Inactive
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,144203842.0,Inactive
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,144203843.0,Inactive
CN1[C@H]2CC[C@@H]1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2,144203844.0,Inactive
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,144203846.0,Inactive
COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,144203849.0,Inactive
Brc1c(NC2=NCCN2)ccc2nccnc12,144203850.0,Inactive
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,144203851.0,Inactive
O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1,144203855.0,Inactive
CCCOc1ccccc1-c1nc(=O)c2[nH]nnc2[nH]1,144203857.0,Inactive
COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F,144203858.0,Inactive
O=C(O)c1cc2cc(Cc3cccnc3)ccc2o1,144203861.0,Inactive
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,144203862.0,Inactive
CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,144203863.0,Inactive
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,144203870.0,Inactive
CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,144203871.0,Inactive
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,144203873.0,Inactive
CN(CCCCCCCCCCN(C)C(=O)Oc1ccccc1[N+](C)(C)C)C(=O)Oc1ccccc1[N+](C)(C)C,144203878.0,Inactive
O=c1c(CC[S+]([O-])c2ccccc2)c(O)n(-c2ccccc2)n1-c1ccccc1,144203882.0,Inactive
C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,144203900.0,Inactive
COc1cc(NC(C)CCCN)c2ncccc2c1,144203901.0,Inactive
CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(O)c3c(c(O)c4c(Cl)ccc(O)c4c3O)C[C@@H]12,144203905.0,Inactive
CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,144203906.0,Inactive
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21C,144203910.0,Inactive
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,144203911.0,Inactive
CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,144203913.0,Inactive
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,144203914.0,Inactive
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,144203915.0,Inactive
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,144203916.0,Inactive
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,144203917.0,Inactive
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,144203920.0,Inactive
Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,144203923.0,Inactive
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,144203924.0,Inactive
COc1c2occc2c(OC)c2c(=O)cc(C)oc12,144203925.0,Inactive
CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,144203928.0,Inactive
CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,144203929.0,Inactive
CCOC(=O)Oc1c(OC)cc(C(=O)O[C@@H]2C[C@@H]3CN4CCc5c([nH]c6cc(OC)ccc56)[C@H]4C[C@@H]3C(C(=O)OC)[C@H]2OC)cc1OC,144203930.0,Inactive
O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,144203931.0,Inactive
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,144203932.0,Inactive
NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,144203938.0,Inactive
CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,144203945.0,Inactive
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,144203949.0,Inactive
OC(c1ccccc1)(c1ccccc1)C1CCNCC1,144203950.0,Inactive
O=C(O)CCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,144203951.0,Inactive
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,144203952.0,Inactive
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,144203956.0,Inactive
CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,144203958.0,Inactive
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,144203960.0,Inactive
Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,144203961.0,Inactive
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,144203962.0,Inactive
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,144203963.0,Inactive
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,144203964.0,Inactive
CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,144203965.0,Inactive
CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1,144203966.0,Inactive
Oc1c(I)cc(Cl)c2cccnc12,144203967.0,Inactive
CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,144203970.0,Inactive
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,144203971.0,Inactive
NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,144203972.0,Inactive
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,144203973.0,Inactive
CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,144203975.0,Inactive
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,144203976.0,Inactive
CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,144203979.0,Inactive
CC(=O)C1CC[C@H]2C3=CC=C4CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,144203980.0,Inactive
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,144203981.0,Inactive
CN1CCN(C(c2ccccc2)c2ccccc2)CC1,144203984.0,Inactive
CC(C)NC[C@@H](O)COc1cccc2ccccc12,144203986.0,Inactive
C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC(=O)[C@@]32C)O[C@]12CC[C@@H](C)CO2,144203994.0,Inactive
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,144203995.0,Inactive
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,144203999.0,Inactive
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,144204000.0,Inactive
COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4,144204002.0,Inactive
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,144204003.0,Inactive
O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1,144204004.0,Inactive
CC(CNC1CCCCC1)OC(=O)c1ccccc1,144204007.0,Inactive
O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1,144204011.0,Inactive
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,144204012.0,Inactive
CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC,144204013.0,Inactive
CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,144204018.0,Inactive
COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,144204021.0,Inactive
OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1,144204024.0,Inactive
CC1CCCC(C)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,144204026.0,Inactive
CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1,144204027.0,Inactive
COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,144204029.0,Inactive
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,144204031.0,Inactive
NS(=O)(=O)c1cc2c(cc1Cl)NC(CC1CCCC1)NS2(=O)=O,144204032.0,Inactive
CCCCC[C@H](O)/C=C/[C@@H]1C(CCCCCCC(=O)O)C(=O)C[C@H]1O,144204033.0,Inactive
CN(C)CC/C=C1/c2ccccc2CSc2ccccc21,144204039.0,Inactive
CC(=O)OC=C1CSC2C(N)C(=O)N2C1C(=O)O,144204041.0,Inactive
CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,144204043.0,Inactive
CN(C)C1C(=O)C(C(=O)NCNC(CCCCN)C(=O)O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,144204044.0,Inactive
Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)CCC2,144204046.0,Inactive
CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,144204047.0,Inactive
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,144204048.0,Inactive
COc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1,144204053.0,Inactive
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,144204058.0,Inactive
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,144204059.0,Inactive
CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,144204061.0,Inactive
CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,144204062.0,Inactive
O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1,144204063.0,Inactive
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,144204067.0,Inactive
O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,144204068.0,Inactive
Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,144204070.0,Inactive
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,144204074.0,Inactive
c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,144204075.0,Inactive
CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,144204078.0,Inactive
CCCCc1cc2ccccc2c(OCCN(C)C)n1,144204079.0,Inactive
COc1ccc(OC)c(C(O)CNC(=O)CN)c1,144204080.0,Inactive
Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,144204084.0,Inactive
CC1(C)SC2C(NC(=O)C3(N)CCCCC3)C(=O)N2C1C(=O)O,144204085.0,Inactive
C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,144204086.0,Inactive
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,144204087.0,Inactive
Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O,144204088.0,Inactive
O=C1OC(CN2CCOCC2)CN1/N=C/c1ccc([N+](=O)[O-])o1,144204089.0,Inactive
O=P1(NCCCl)OCCCN1CCCl,144204090.0,Inactive
CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,144204091.0,Inactive
C=C1c2cccc(O)c2C(=O)C2C(=O)[C@]3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)[C@@H]3[C@@H](O)[C@H]12,144204093.0,Inactive
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,144204094.0,Inactive
CC(=O)NC(CC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O,144204096.0,Inactive
NC(=O)c1cc[n+](C=C2CSC3C(NC(=O)Cc4cccs4)C(=O)N3C2C(=O)[O-])cc1,144204099.0,Inactive
CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1,144204101.0,Inactive
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,144204104.0,Inactive
C=CCOc1ccccc1OCC(O)CNC(C)C,144204107.0,Inactive
CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,144204108.0,Inactive
CO[C@H]1C[C@H](O[C@@H]2C(C)C(=O)O[C@H](C)[C@H](C)[C@H](O)C(C)C(=O)[C@@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@H]2C)O[C@@H](C)[C@@H]1O,144204109.0,Inactive
COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,144204110.0,Inactive
C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3OC3=CCC(=O)O1)C[C@H](O)C2C(=O)O,144204112.0,Inactive
